job_id,num_gpu,submit_time,iterations,model_name,duration,interval
277,1,41861,0,inception3,3,0
278,1,41955,0,inception3,3,0
279,8,43183,0,inception3,5,0
280,1,20188,0,vgg16,10,0
281,1,20200,0,vgg16,7,0
282,1,20208,0,vgg16,8,0
283,1,20219,0,vgg16,5,0
284,1,20226,0,vgg16,3,0
285,1,20236,0,vgg16,3,0
286,1,20240,0,vgg16,3,0
287,1,20245,0,vgg16,3,0
288,1,20249,0,vgg16,3,0
289,1,20253,0,vgg16,4,0
290,1,20260,0,vgg16,3,0
291,1,20265,0,vgg16,8,0
292,1,20274,0,vgg16,3,0
293,1,20278,0,vgg16,4,0
294,1,20284,0,vgg16,4,0
295,1,20289,0,vgg16,3,0
296,1,20293,0,vgg16,11,0
297,1,20305,0,vgg16,3,0
298,1,20310,0,vgg16,3,0
299,1,20314,0,vgg16,4,0
300,1,20319,0,vgg16,6,0
301,1,20326,0,vgg16,8,0
302,1,20335,0,vgg16,3,0
303,1,20339,0,vgg16,12,0
304,1,20352,0,vgg16,7,0
305,1,20360,0,vgg16,3,0
306,1,20364,0,vgg19,6,0
307,1,20373,0,vgg19,3,0
308,1,20378,0,vgg19,3,0
309,1,20382,0,vgg19,8,0
310,1,20391,0,vgg19,15,0
311,1,20411,0,vgg19,5,0
312,1,20417,0,vgg19,8,0
313,1,20426,0,vgg19,8,0
314,1,20435,0,vgg19,6,0
315,1,20443,0,vgg19,7,0
316,1,20453,0,vgg19,3,0
317,1,20457,0,vgg19,4,0
318,1,20462,0,vgg19,3,0
319,1,20466,0,vgg19,3,0
320,1,20470,0,alexnet,4,0
321,1,20477,0,alexnet,6,0
322,1,20484,0,alexnet,3,0
323,1,20488,0,alexnet,4,0
324,1,20493,0,alexnet,3,0
325,1,20497,0,alexnet,3,0
326,1,20501,0,alexnet,13,0
327,1,20515,0,alexnet,3,0
328,1,20519,0,alexnet,4,0
329,1,20524,0,alexnet,16,0
330,1,20541,0,alexnet,4,0
331,1,20546,0,alexnet,23,0
332,1,20572,0,alexnet,8,0
333,1,20584,0,vgg11,8,0
