job_id,num_gpu,submit_time,iterations,model_name,duration,interval
259,8,34895,0,resnet101,2,0
260,8,34913,0,vgg11,4,0
261,8,34939,0,vgg11,4,0
262,8,34948,0,vgg11,3,0
263,8,34951,0,resnet152,3,0
264,8,34955,0,resnet152,2,0
265,8,34958,0,resnet152,2,0
266,8,34968,0,resnet152,3,0
267,8,34980,0,resnet152,3,0
268,8,34984,0,resnet152,2,0
269,8,34987,0,resnet152,2,0
270,8,34989,0,vgg11,3,0
271,8,35011,0,vgg11,2,0
272,8,35067,0,vgg11,18,0
273,8,35199,0,resnet152,2,0
274,8,35202,0,resnet152,2,0
275,8,35207,0,resnet152,2,0
276,8,35239,0,resnet152,3,0
277,8,35259,0,resnet152,2,0
278,8,35278,0,resnet152,3,0
279,8,35285,0,resnet152,2,0
280,8,35302,0,resnet152,2,0
281,8,35305,0,resnet152,3,0
282,8,35315,0,resnet152,7,0
283,8,35323,0,resnet152,2,0
284,8,35328,0,resnet152,2,0
285,8,35483,0,resnet152,6,0
286,8,35493,0,resnet152,4,0
287,8,35497,0,resnet152,10,0
288,8,35508,0,resnet152,7,0
289,8,35516,0,resnet152,2,0
290,8,36265,0,resnet152,8,0
291,8,36276,0,resnet152,2,0
292,8,36281,0,resnet152,2,0
293,8,36352,0,resnet152,2,0
294,8,36430,0,resnet152,4,0
295,8,36457,0,resnet152,2,0
296,8,36632,0,resnet152,2,0
297,8,36636,0,vgg11,2,0
298,8,36640,0,vgg11,2,0
299,8,36660,0,vgg11,2,0
300,8,36689,0,vgg11,2,0
301,8,37786,0,vgg11,3,0
302,8,37828,0,vgg11,3,0
303,8,38338,0,vgg11,3,0
304,8,38342,0,resnet50,2,0
305,8,38404,0,resnet50,3,0
306,8,38408,0,inception4,2,0
307,8,38410,0,inception4,3,0
308,8,38456,0,vgg11,3,0
309,8,38493,0,vgg11,2,0
310,8,38538,0,vgg11,7,0
311,8,38545,0,vgg11,2,0
312,8,38556,0,alexnet,2,0
313,8,38567,0,alexnet,7,0
314,8,38584,0,alexnet,6,0
315,8,38590,0,alexnet,2,0
316,8,38599,0,alexnet,5,0
317,8,38604,0,alexnet,3,0
318,8,38607,0,alexnet,2,0
319,8,38611,0,alexnet,5,0
320,8,38620,0,alexnet,2,0
321,8,38625,0,alexnet,4,0
322,8,38629,0,alexnet,3,0
323,8,38633,0,alexnet,2,0
324,8,38645,0,alexnet,2,0
325,8,38647,0,alexnet,2,0
326,8,38649,0,alexnet,2,0
327,8,38651,0,alexnet,2,0
328,8,38653,0,alexnet,2,0
329,8,39151,0,vgg19,2,0
330,8,39154,0,vgg19,2,0
331,8,39156,0,vgg19,2,0
332,8,39169,0,inception3,5,0
333,8,39198,0,inception3,7,0
334,8,39211,0,resnet50,2,0
335,8,39214,0,resnet50,2,0
336,8,39238,0,resnet50,3,0
337,8,39242,0,resnet50,2,0
338,8,39306,0,resnet50,5,0
339,8,39366,0,resnet50,4,0
340,8,39370,0,resnet50,4,0
341,8,39387,0,resnet50,3,0
342,8,39399,0,resnet50,2,0
343,8,39401,0,resnet50,2,0
344,8,39407,0,resnet50,4,0
345,8,39423,0,resnet50,2,0
346,8,39429,0,resnet50,3,0
347,8,39446,0,resnet152,3,0
348,8,39523,0,resnet152,3,0
